formula,id,band_gap,formation_energy,energy_above_hull
TeMoWSe2S,mp-1030190,0,-0.425624497,0.210342225
Ca4Fe5(Si3O14)2,mp-1227865,0,-2.38285329,0.173176029
MgSc2Ti2O7,mp-2218205,0,-3.347469295,0.189542369
Mn4P4O13,mp-675297,3.6706,-2.485444275,0.040228386
Sc7Cl12,mp-23186,0,-2.00367984,0.014477623
TbMgCd2,mp-862767,0,-0.283715265,0
CaH8(ClO2)2,mp-721047,5.1469,-1.565691788,0.018236622
C2SF6,mp-1214177,4.3393,-1.305670575,0.561594043
Rb2TaCuI6,mp-1110718,0,-0.871781606,0.217537358
CsRbMg6,mp-1098082,0,0.293907172,0.293907172
Ba6Li2Ti7Nb9O42,mp-773084,0,-3.264810191,0.008465952
CeBiAu2,mp-861888,0,-0.59254116,0
KVO4,mp-1180691,0,-1.684958194,0.31844982
MoN,mp-2811,0,-0.546220419,0
LiVCrP2(HO5)2,mp-759891,1.2542,-2.399212286,0.014030212
Ta3MnN6,mp-1247209,0,-0.90541831,0.189291748
U(TeO3)3,mp-554219,1.7448,-2.136249056,0.007253469
Sr3Mn2O7,mp-19070,0,-2.594314562,0.028049522
Sb2(PO4)3,mp-554631,0,-2.028622817,0.024317048
ZrCr2,mp-1919,0,0.188441572,0.188441573
WO3,mp-2383052,1.2701,-2.187120654,0.000512914
KMoIO6,mp-556136,2.7834,-1.636278919,0
PrCrSb3,mp-1209589,0,-0.589970723,0.00904716
SmAlGe,mp-3077,0,-0.664617273,0
Fe10O9F11,mp-849300,1.1994,-2.084651973,0.087039412
Li3CuOF3,mp-1147575,0.3282,-2.543421483,0.066197861
LiV2O5,mp-19408,1.229,-2.426129369,0.034579933
LiTl3,mp-1185253,0,-0.081129934,0.046669947
Ga2PbS4,mp-1196984,2.3028,-0.952410673,0
CoCuP2O7,mp-21403,0,-2.121726385,0.015177063
Ba2SmWO6,mp-1517191,1.7704,-3.083647112,0
TlAsSe2,mp-30236,1.0901,-0.475694008,0
ThBr2,mp-1208286,0,-1.43229347,0.302175932
La3Ta(Cl3O2)2,mp-1211290,3.5677,-3.232805463,0
Rb2YAuI6,mp-1111786,1.1678,-1.345192362,0.105849493
Rb,mp-1063817,0,0.18116351,0.18116351
LiFeAsCO7,mp-770902,0.0452,-1.713206826,0.069260314
SnS2,mp-1002063,1.8648,-0.396669649,0.076658843
La2(Al3Ir)3,mp-1211311,0,-0.835437317,0
BaNd2Ti3O10,mp-6622,1.9244,-3.646718073,0.008736552
SmCrO4,mp-18956,0,-2.752340161,0
In3B,mp-1184492,0,0.910900078,0.910900078
Na4NbZnSi2PO12,mp-2715754,1.7333,-2.65653193,0.091697717
Mo2P2O11,mp-25266,1.6407,-2.25870572,0.002659273
Hg3Te2IBr,mp-571177,1.2572,-0.552054292,0.010943552
Mg2VW3S8,mp-1247252,0,-1.029452401,0.248139752
KPr(MoO4)2,mp-1211391,3.3438,-2.501411094,0.011090205
Na3Hf3In(PO4)6,mp-2714752,4.4328,-3.042019189,0.014411553
KTlBr3,mp-1111155,0.9246,-1.392390547,0.077235673
Mn4Be3Si3SO12,mp-19314,3.3366,-2.758440926,0
Li7Fe2P7O24,mp-757222,2.5575,-2.547878335,0.068193451
K2Nb3H11C5(Cl3O4)2,mp-1194979,1.118,-1.265716786,0.246208791
KCaAsO12,mp-1180993,0,-0.758910454,0.380141939
BeSiTc2,mp-1093711,0.262,3.178284761,3.511336922
Li2Mn4O5F3,mp-754142,0.254,-2.374562901,0.078350857
Pr2P2OsO,mp-1209685,0,0.07719711,1.899875387
SrMg2,mp-1094331,0,0.029401338,0.106734325
RbMnPO4,mp-556338,0,-2.589683222,0
Ba2HgAu,mp-1095904,0.2661,0.705846717,1.332218034
LaFe9,mp-1247737,0,0.215011349,0.21501135
Li3MnV4O12,mp-754783,0,-2.358036254,0.068965197
Dy2Nb2S7O30,mp-1204935,0.1207,-2.261878362,0.00974647
Ba3CaIr2O9,mp-17448,0,-2.377184717,0
Re3Br7,mp-1210365,0.3599,-0.709541401,0
SrRuO3,mp-1179112,0,-1.570155796,0.496634315
LiV4(PO4)3,mp-758417,1.7856,-2.5412114,0.052023184
LiV2OF5,mp-861457,0.7676,-3.036238732,0.077371949
YGePd,mp-1215971,0,-0.90453426,0.076662725
Nd3U2O10,mp-675770,0.1734,-3.843695059,0
ZrCrCuS4,mp-1239122,0.1494,-1.180121943,0.077599349
Cs2CoSe2,mp-8770,0,-0.904407091,0.021257902
PrCuGe2,mp-978092,0,-0.637492519,0
Rb2YCuCl6,mp-1110685,2.6201,-2.130710342,0.042299687
Ba2PrMgRuO6,mp-2218013,0,-2.376017502,0.420602173
CsEu(WO4)2,mp-1213312,0,-2.45580305,0.012390114
BaWN3,mp-989622,1.2852,-0.821954626,0
KGdGeS4,mp-1104447,0,-1.538552388,0.030727156
Mg149Rh,mp-1185582,0.0438,-0.001471624,0.008088755
SmPtF7,mp-17569,2.3817,-2.916592456,0
TiCrCuS4,mp-1239174,0,-1.13320607,0.052620482
LiLa4FeO8,mp-756904,0.4622,-3.252353667,0.069404508
Er3GaCoS7,mp-1191530,0,-1.738444807,0.062864626
Li2SnO6,mp-1180644,0,-0.979733912,0.515223668
CsHo3,mp-1183916,0,0.730355778,0.730355778
NaNiPO4,mp-776294,3.3445,-2.27712897,0.026357478
K2RuNCl5O,mp-541361,1.7947,-1.498171661,0.000125922
PmSmHg2,mp-983063,0,-0.562610521,0
MnAg2GeTe4,mp-1025568,0,-0.29591649,0.004934027
MgSn5,mp-1094240,0,0.022042943,0.063817638
CsMgMnP3HO10,mp-2229931,2.1389,-2.388970683,0.209588741
TiMn2Ni3(PO4)6,mp-776680,0,-2.311568582,0.088449918
MgAl10O16,mp-757911,4.407,-3.388350681,0.020989553
Ca4P7Ir8,mp-31233,0,-0.998682876,0
HfBi,mp-1212407,0,-0.197893581,0
LiMn6O5F7,mp-1235234,0,-2.411815918,0.144107033
Ta3As,mp-30523,0,-0.374538323,0.009846855
SrCoO3,mp-550781,0,-1.90972754,0.087704892
CuSO5,mp-1104691,0,-0.969867949,0.101525059
SrMnV2(AgO4)2,mp-541777,1.366,-2.112574133,0.029006298
Li9Co7O16,mp-1175515,0,-1.608774102,0.146505517
Ni4(SnSb3)3,mp-1220099,0,-0.251519023,0.002955167
HfAlRu2,mp-864909,0,-0.822498638,0
NdZn2,mp-30800,0,-0.367923294,0
Dy2In3Cu,mp-1225653,0,0.087410186,0.627544289
KNiPS4,mp-662530,0.5294,-0.905382673,0
Kr,mp-974400,7.1667,0.013854593,0.013854593
KCoAu3(CN)6,mp-568906,0,0.094423234,0.23658616
V7O3,mp-542910,0,-0.434902928,0.831080103
Fe2O3F,mp-754938,0,-1.668420441,0.104278437
KV13O20,mp-768095,0.5907,-2.400407267,0.094944132
Si2Ir,mp-1206741,0,-0.540359897,0.058270888
Rb2TlGaBr6,mp-1114007,1.6518,-1.542502132,0.090565026
Fe2Si2SbO9,mp-1103957,0.0116,-2.261910353,0.156063732
BaMn6O12,mp-1228093,0,-2.079815316,0.000560511
V2Cu3O11,mp-1208093,0,-1.014645989,0.383563895
Tb3(Al3Os)4,mp-1208548,0,-0.685107791,0
Sm2ScNbO7,mp-1219154,2.51,-3.676655528,0.032796201
Li9Nb7V12O48,mp-850928,1.0234,-2.585105172,0.088324795
Sr2Ca6Mn7FeO24,mp-1099788,0,-2.394531771,0.095847684
Mn13Fe(SiO11)2,mp-1210713,0,-2.161108546,0.066426149
Li3MgNi3O8,mp-772324,0,-1.542264202,0.063290869
LiMgN,mp-30156,2.2065,-0.808809935,0.002981102
SnS16(Cl2O)2,mp-614997,2.0385,-0.460590014,0.047760743
Na14Cu2O9,mp-778419,0,-1.273733638,0.075670485
Li9Mn2Co5O16,mp-1176145,0.1059,-1.782380794,0.124047478
CeHgPd,mp-1079310,0,-0.609887535,0
FeCuS2,mp-3497,0,-0.513957746,0.121169054
BaNaLaFeO6,mp-1520238,0,-2.18400686,0.158742972
MgIn5,mp-1185918,0,0.04036164,0.056855738
Pm3Sm,mp-1186530,0,0.027195394,0.027195394
FeH16C4(NCl2)2,mp-709074,0.0082,-0.445322473,0.113815829
Li3CrP2O9,mp-850889,0,-2.42907709,0.088023208
PNO,mp-760506,3.9649,-1.412007552,0.066338602
Zn3Cu2(GeO4)3,mp-1325923,0.3811,-1.566482323,0.163031173
Ti2NbPt,mp-1096485,0,2.928548399,3.529110556
V2O5,mp-1245156,1.9387,-2.195974749,0.089973698
ErGa6,mp-1213556,0.0277,1.574793446,1.901323398
K2O,mp-971,1.7072,-1.232443797,0
Mg6CdFe,mp-1022159,0,0.142726127,0.168160226
GaFe7N2,mp-1224930,0,-0.137261605,0.05703512
Zr3Co8Si,mp-1216086,0,-0.253433334,0.131105001
Li5Mn6O12,mp-1638896,1.2066,-2.107757805,0.027114573
Ba3(AlGe)2,mp-10669,0,-0.478304637,0
Ti3Sn,mp-1079460,0,-0.319054466,0
SrFeNi2(PO4)3,mp-1195488,1.4127,-2.487503936,0
CeTl(PSe3)2,mp-1195195,0,-0.914590577,0
Nd2(Zn2Ge)3,mp-11667,0,-0.420282306,0
Pr3GePO9,mp-14328,4.4089,-3.32850209,0
NaZr2ZnF11,mp-15141,5.7246,-3.637391301,0
Cs3ScF6,mp-1112965,6.3471,-3.50613267,0.013341154
Ca2TaMoO6,mp-1366540,1.4283,-3.081179452,0
ThU4(Cu4Pd)5,mp-1217741,0,-0.128726133,0.046151685
Ac2Cl2O,mp-1207291,0.2363,-1.524639032,1.313464733
Lu5Zr3(Ni4As3)4,mp-1196994,0,-0.796999818,0
Mn3Co3(TeO8)2,mp-771946,0,-1.448270741,0.091301773
Tm2CdGe2,mp-1079644,0,-0.669781885,0
Na6ScTa3(SiO4)6,mp-2715430,3.77,-3.097019027,0.022547993
Lu(Fe5Si)2,mp-1222514,0,-0.248877211,0
Cu2WO4,mp-683666,0.6311,-1.244484308,0.281193959
Sr2Cu2TeO7,mp-1046197,0,-1.717825645,0.307541144
Li9Mn2Co5O16,mp-1175660,0.6025,-1.807506864,0.098921408
Ca(TiS2)8,mp-1048589,0,-1.710085916,0
Na7Y2Hf2Si3(PO8)3,mp-2715180,4.2346,-3.116186524,0.02377941
CsLu(MoO4)2,mp-1213334,3.5298,-2.545086881,0.039123073
Th5Sn3,mp-30873,0,-0.567208946,0
DyMg,mp-2077,0,-0.058876588,0
K2AlB5O14,mp-1224633,0.2959,-1.862888325,0.508897923
Li3WN2,mp-1246718,0,-0.622649824,0.250178976
Na6CaSi2Sn3(PO6)4,mp-2715348,2.0352,-2.617895035,0.056780692
Lu2CuAs3,mp-1207304,0.1321,2.309589139,3.467377726
Li9Mn2Co5O16,mp-1100728,0,-1.775239886,0.131188385
Mg6AlZnO8,mp-1033130,0,-2.741952989,0.195487167
Al2ZnS4,mp-1096810,3.0979,-1.189187782,0.000766054
Pm3Er,mp-1186502,0,0.032902696,0.032902696
Na2Ta6Ga2Si7S5O48,mp-2715776,2.6581,-2.738506777,0.040754238
NaNi2H3(SeO5)2,mp-1221027,2.7127,-1.360925424,0
Mg3Te,mp-1185797,0,-0.239216678,0.296568224
ScGa2,mp-11412,0,-0.6096569,0
BiTeRh,mp-1227426,0.162,-0.524436662,0
AlVMoO7,mp-20014,2.0209,-2.457087179,0
LiAlHg2,mp-1096281,0,0.833209243,1.027623384
Mg30BiBO32,mp-1098202,1.8777,-2.865973973,0.119759412
AlWO3,mp-1417649,0,-1.448754538,1.178439271
GdTiCdSbO7,mp-39684,2.3292,-2.78079702,0
BaCaSn3,mp-583645,0,-0.6082998,0.001525398
Mg(FeO2)2,mp-532433,0,-1.982189493,0.180368892
CaIrO3,mp-1079054,0,-1.776031614,0.323336272
LiFeSiO4,mp-859102,1.7212,-2.455145056,0.090872514
PbS,mp-1078500,1.2177,-0.752608416,0.03096096
Na4YTa3Si4(PO12)2,mp-2715064,3.1321,-3.097242108,0.04564997
Ca3V2O7,mp-1370470,0.9998,-2.992108214,0.004302287
HfBr4,mp-1212517,4.2933,-1.628441633,0
Li4VCo3O8,mp-753470,1.1025,-1.917441655,0.086152339
LiCu2F6,mp-863372,0,-2.06880137,0.021086557
Cr3N2,mp-1014454,0,-0.283983616,0.315365839
CoN6(ClO)2,mp-1199578,0.1662,0.427953944,0.879982675
Sr2TiAlCu2O7,mp-1249417,0,-2.575371339,0.186093654
Sr2GdNbO6,mp-1518774,2.8344,-3.411394828,0.02340975
CaNd3,mp-983582,0,0.089137312,0.089137312
Sr2MgTlCuO5,mp-2223136,0,-1.979422581,0.292137291
KOsN2,mp-1246367,0,0.066406223,0.213814446
Eu2Ge3Au,mp-1102390,0,-0.652630449,0
Tl2Ge2Se5,mp-540818,1.4126,-0.610636713,0
Mg14ZnSb,mp-1027899,0,-0.018359881,0.061817389
Ca3Zr17O37,mp-674516,0,-3.603828463,0.141444022
Na2BiO3,mp-780618,0,-1.660193517,0.071364069
KNaCa2(SiO3)8,mp-1226150,0.4556,-2.439827327,0.337154068
CuGe3,mp-1184183,0,0.324850239,0.324850239
MgV6O5F19,mp-2220500,0,-2.834254394,0.065837193
Li2FeH4(SO5)2,mp-770588,4.2367,-1.799384915,0.048862017
MgFe6Sb10(IO3)6,mp-1233566,1.5514,-1.448074267,0.097787677
Mn2Fe3Co3O16,mp-772328,0,-1.265357807,0.123302911
Zr3U7O20,mp-766007,0,-3.703701392,0.304438024
MgZn2(BiO3)4,mp-2230573,0.0727,-1.555268142,0.096607624
MgV5CoO12,mp-2231512,1.0036,-2.319078505,0.133883478
Li9Mn2Co5O16,mp-1175533,0.6106,-1.82724776,0.079180511
Ca2AgRh,mp-1183516,0,-0.299633551,0.034285247
Bi2OsAu,mp-631571,0,0.67933046,0.703252707
LiTaGeO5,mp-1222344,3.7967,-2.755211,0.004194907
Li5BiO4,mp-769040,2.4426,-1.946899936,0.046776341
UMo5O16,mp-32069,0,-2.228384313,0.028353339
Na2PrWO6,mp-1516196,0,-2.403283914,0.093754664
